id,mammal_id,spcrecid,kingdom,phylum,class,order_team,family,genus,species,authority,infraspecific_rank,infraspecific_name,infraspecific_authority,stock_subpopulation,synonyms,common_names_eng,common_names_fre,common_names_spa,red_list_status_id,red_list_criteria,red_list_criteria_version,year_assessed,population_trend,petitioned,mass,guild,wpi_include
6863,,30118,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Cabalus,modestus,"(Hutton, 1872)",,,,,Gallirallus modestus (10); Rallus modestus (12);,Chatham Rail,,,1,,,,,,,,
6864,,2864,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,longirostris,"Boddaert, 1783",,,,,,Clapper Rail,,,8,,,,,,,,
6867,,2865,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,elegans,"Audubon, 1834",,,,,,King Rail,,,8,,,,,,,,
6868,,2866,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,wetmorei,"Zimmer & Phelps, 1944",,,,,,Plain-flanked Rail,,,4,,,,,,,,
6869,,2867,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,limicola,"Vieillot, 1819",,,,,,Virginia Rail,,,8,,,,,,,,
6870,,2868,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,semiplumbeus,"Sclater, 1856",,,,,,Bogota Rail,,,4,,,,,,,,
6871,,2869,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,antarcticus,"King, 1828",,,,,,Austral Rail,,,5,,,,,,,,
6872,,2870,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallus,aquaticus,"Linnaeus, 1758",,,,,,Water Rail,,,8,,,,,,,,
6876,,2874,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Lewinia,pectoralis,"(Temminck, 1831)",,,,,,Lewin's Rail,,,8,,,,,,,,
6877,,2873,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Lewinia,mirifica,"(Parkes & Amadon, 1959)",,,,,Lewinia mirificus (10);,Brown-banded Rail,,,7,,,,,,,,
6878,,2875,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Lewinia,muelleri,"(Rothschild, 1893)",,,,,,Auckland Islands Rail,,,5,,,,,,,,
6880,,2877,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Crecopsis,egregia,"(Peters, 1854)",,,,,,African Crake,,,8,,,,,,,,
6881,,2878,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Crex,crex,"(Linnaeus, 1758)",,,,,,Corncrake,,,8,,,,,,,,
